File,Title,Name of Author,Period,Date,Culture,Materials,Unit,Specific Unit,
184.png,Jowo Rinpoche (enshrined in the Jokhang Temple),,,641 CE,"Lhasa, Tibet, Yarlung Dynasty","Gilt metals, semiprecious stones, pearls, paint, various offerings",7,23,
185a.png/185b.png,Dome of the Rock,,,691-692 CE,"Jerusalem, Israel, Islamic, Umayyad","Stone masonry, wooden roof decorated with glazed ceramic tile, mosaic, gilt aluminum, bronze dome",7,23,
186a.png/186b.png/186c.png/186d.png,Great Mosque (Masjid-e Jameh):Masjid-e Jameh/detail/Courtyard/Mihrab (prayer room),,,700 CE,"Isfahan, Iran, Islamic, Persian, Seljuk, Il-Khanid, Timurid, Safavid Dynasty","Stone, brick, wood, plaster, glazed ceramic tile",7,23,
187.png,Folio from a Qur'an,,,700-800 CE,"Arab, North Africa, Near East, Abbasid caliphate","Ink, color, gold, parchment",7,23,
188.png,Basin (Baptistere de St. Louis),Muhammad ibn al-Zain,,1320-1340 CE,,"Brass, gold, silver",7,23,
189.png,Bahram Gur Fights the Karg (folio from the Great II-Khanid Shahnama),,,1330-1340 CE,"Islamic, Persian, Il-Khanid Dynasty","Ink, opaque watercolor, gold, silver, paper",7,23,
190.png,The Court of Gayumars (folio from Shah Tahmasp's Shahnama),Sultan Muhammad,,1522-1525 CE,,"Ink, opaque watercolor, gold, paper",7,23,
191.png,The Ardabil Carpet,Maqsud of Kashan,,1539-1540 CE,"Safavid Dynasty, Iran","Silk, wool",7,23,
192a.png/192b.png/192c.png/192d.png,Great Stupa at Sanchi:Great Stupa at Sanchi/Detail/North Gate/Plan and elevation,,,300 BCE-100 CE,"Madhya Pradesh (state), India, Buddhist, Maurya Empire, late Sunga Dynasty","Stonemasonry, sandstone dome",8,24,
193a.png/193b.png,Terra cotta warriors from mausoleum of the first Qin emperor of China,,,221-209 BCE,"China, Qin Dynasty",Painted terracotta,8,25,
194.png,Funeral banner of Lady Dai (Xin Zhui),,,180 BCE,"China, Han Dynasty",Painted silk,8,25,
195a.png/195b.png/195c.png,Longmen caves,,,493-1127 CE,"Luoyang, China, late northern Wei Dynasty, Tang Dynasty",Limestone,8,25,
196.png,Gold and jade crown,,Three Kingdoms Period,400-599 CE,"Silla Kingdom, Korea",Metalwork,8,26,
197a.png/197b.png/197c.png/197d.png/197e.png,Todai-ji:Todai-ji/Great Buddha/Nio guardian statue/Nio guardian statue/Gate,"Unkei, Kaikei, Kei School of Sculpture",,743 CE/1700 CE,"Nara, Japan","Bronze, wood/wood, ceramic-tile roofing",8,26,
198a.png/198b.png/198c.png,Borobudur Temple:Borobudur Temple/Detail/Buddha,,Sailendra Dynasty,750-842 CE,"Central Java, Indonesia",Volcanic-stone masonry,8,26,
199a.png/199b.png/199c.png/199d.png/199e.png/199f.png,Angkor:Angkor Wat/South Gate of Angkor Thom/Churning of the Ocean of Milk/Jayavarman VII as Buddha/Angkor Wat plan/Angkor site plan,,,800-1400 CE,"Cambodia, Hindu, Angkor Dynasty","Stonemasonry, sandstone",8,26,
200a.png/200b.png/200c.png/200d.png,Lakshmana Temple:Lakshmana Temple/Detail/Detail/Lakshmana Temple plan,,,930-950 CE,"Khajuraho, India, Hindu, Chandella Dynasty",Sandstone,8,24,
201.png,Travelers among Mountains and Streams,Fan Kuan,,1000 CE,"China, Song Dynasty","Ink, silk",8,25,
202.png,Shiva as Lord of Dance (Nataraja),,,1000-1099 CE,"Hindu, India, Tamil Nadu (state), Chola Dynasty",Cast Bronze,8,24,
203a.png/203b.png,Night Attack on the Sanjo Palace,,"Kamakura Period, Japan",1250-1300 CE,Japan,Handscroll (ink and color on paper),8,26,
204.png,The David Vases,,,1351 CE,"Jungdezhen, China, Yuan Dynasty","White porcelain, cobalt-blue underglaze",8,25,
205.png,Portrait of Sin Sukju (1417-1475),Imperial Bureau of Painting,,1400-1499 CE,"Korean, Joseon Dynasty",Hanging scroll (ink and color on silk),8,26,
206a.png/206b.png/206c.png/206d.png/206e.png,Forbidden City:Forbidden City/Front Gate/Hall of Supreme Harmony/The Palace of Tranquility and Longevity/Forbudden City plan,,,1420 CE,"Beijing, China, Ming Dynasty, Qing Dynasty","Stonemasonry, marble, brick, wood, ceramic tile",8,25,
207a.png/207b.png/207c.png,Ryoan-ji:Wet garden/Dry garden/Ryoan-ji  plan,,"Muromachi Period, Japan",1480 CE/1700-1799 CE,"Kyoto, Japan",Rock garden,8,26,
208.png,Jahangir Preferring a Sufi Shaikh to Kings,Bichitr,,1620 CE,"India, Islamic, Mughal Dynasty","Watercolor, gold, ink, paper",8,24,
209a.png/209b.png,Taj Mahal,Ustad Ahmad Lahori,,1632-1653 CE,"Agra, Uttar Pradesh, India","Stonemasonry, marble, precious stones, semiprecious stones, gardens",8,24,
210a.png/210b.png,White and Red Plum Blossoms,Ogata Korin,,1710-1716 CE,Japan,"Ink, watercolor, gold leaf, paper",8,26,
211.png,"Under the Wave off Kanagawa (Kanagawa oki nami ura)(also known as the Great Wave, from the series Thirty-six Views of Mount Fuji.)",Katsushika Hokusai,,1830-1833 CE,"Edo period, Japan",Polychrome woodblock print (ink and color on paper),8,26,
212.png,Chairman Mao en Route to Anyuan,Unknown (based on oil painting by Liu Chunhua),,1969 CE,China,Color lithograph,8,25,
213a.png/213b.png,Nan Madol,,,,,,9,,
214.png,Moai on platform (ahu),,,,,,9,,
215.png, 'Ahu 'ula (feather cape),,,,,,9,,
216a.png/216b.png/216c.png,Staff god:Staff god/Detail/Staff God (contextual image),,,,,,9,,
217.png,Female deity,,,,,,9,,
218.png,Buk (mask),,,,,,9,,
219.png,Hiapo (tapa),,,,,,9,,
220.png,Tamati Waka Nene,,,,,,9,,
221.png,Navigation chart,,,,,,9,,
222.png,Malagan display and mask:Malagan mask/Malagan display,,,,,,9,,
223.png,Presentation of Fijian mats and tapa cloths to Queen Elizabeth II,,,,,,9,,
224a.png/224b.png,The Gates,,,,,,10,,
225a.png/225b.png,Vietnam Veterans Memorial,,,,,,10,,
226.png,Horn Players,,,,,,10,,
227.png,Summer Trees,,,,,,10,,
228.png,Androgyne III,,,,,,10,,
229.png,A Book from the Sky,,,,,,10,,
230.png,Pink Panther,,,,,,10,,
231.png,Untitled (#228) (from the History Portraits series),,,,,,10,,
232.png,"Dancing at the Louvre (from the series The French Collection, Part I; #1)",,,,,,10,,
233.png,Trade (Gifts for Trading Land with White People),,,,,,10,,
234.png,Earth's Creation,,,,,,10,,
235.png,Rebellious Silence (from the Women of Allah series),,,,,,10,,
236.png,En la Barberia no se Llora (No Crying Allowed in the Barbershop),,,,,,10,,
237.png,Pisupo Lua Afe (Corned Beef 2000),,,,,,10,,
238.png,Electronic Superhighway,,,,,,10,,
239.png,The Crossing,,,,,,10,,
240a.png/240b.png/240c.png,Guggenheim Museum Bilbao,,,,,,10,,
241.png,Pure Land,,,,,,10,,
242.png,Lying with the Wolf,,,,,,10,,
243.png,Darkytown Rebellion,,,,,,10,,
244.png,The Swing (after Fragonard),,,,,,10,,
245.png,Old Man's Cloth,,,,,,10,,
246.png,Stadia II,,,,,,10,,
247.png,Preying Mantra,,,,,,10,,
248.png,Shibboleth,,,,,,10,,
249a.png/249b.png,MAXXI National Museum of XXI Century Arts,,,,,,10,,
250.png,Kui Hua Zi (Sunflower Seeds),,,,,,10,,
251.png,Stepped Pyramid of King Djoser (Zoser),Imhotep,"Old Kingdom, Third Dynasty",2630-2611 BCE,Egyptian,Mud Brick/Limestone,2,3,
252.png,The Temple of Ramses II,Unknown,Middle/New Kingdom,1290-1224 BCE,Egyptian,Sandstone,2,3,
253.png,Nefertiti,Thutmose,"New Kingdom, 18th Dynasty",1353-1335 BCE,Egyptian,Limestone,2,3,
254.png,Akhenaten,Unknown,"New Kingdom, 18th Dynasty",1353-1335 BCE,Egyptian,Sandstone,2,3,
255.png,Laocoon and his Sons,"Athanadoros, Hagesandros, and Polydoros of Rhodes",Hellenistic,40-20 BCE,Greek,Marble,2,4,
256.png,David (M),Michelangelo,Italian Renaissance,1501-1504 CE,"Florence, Italy",Marble,3,9,
257.png,Madonna with the Child and Scenes from the Life of St Anne,Fra Filippo Lippi,Early Italian Renaissance,1452 CE,"Florence, Italy",Tempera on wood,3,9,
258.png,Primavera (Spring),Botticelli,Early Italian Renaissance,1482 CE,"Florence, Italy",Tempera on wood,3,9,
259.png,Gates of Paradise on the East door of Baptistry of San Giovanni,Lorenzo Ghiberti,Early Italian Renaissance,1425-1452 CE,"Florence, Italy",Gilded Bronze or Bronze Casting,3,9,
260.png,Tribute Money,Masacclo,Early Italian Renaissance,1425 CE,"Florence, Italy",Fresco,3,9,
261.png,Christ Giving the Keys of the Kingdom to St Peter,Pietro Perugino,,1481-1483 CE,"Vatican City, Italy",Fresco,3,9,
262a.png/262b.png/262c.png/262d.png,The Very Rich Hours of the Duke of Berry,Limbourg brothers,Late Gothic,1413-1416 CE,,"Tempera, gold, ink on vellum",3,8,
263.png,Garden of Earthly Delights,Heironymus Bosch,Northern High Renaissance,1505-1510 CE,"Dutch, Netherlands",Oil on Wood,3,11,
264.png,Madonna and Child with Angels (Madonna with the long neck),Parmigianino,Mannerism,1534-1540 CE,"Florence, Italy",Wood panel with oils,3,10,
265.png,Pesaro Madonna,Titian,High Renaissance,1519-1526 CE,"Venice, Italy",Oil on canvas,3,10,
266.png,Judith Slaying Holofernes,Artemisia Gentileschi,Baroque,1620-1621 CE,Italy,Oil on canvas,3,12,
267.png,David (B),Gian Lorenzo Bernini,Baroque,1624 CE,"Rome, Italy",Marble,3,12,
268.png,Apollo and Daphne,Gian Lorenzo Bernini,Baroque,1622-1625 CE,"Rome, Italy",Marble,3,12,
269.png,The Arrival of Marie de Medici at Marseille,Peter Paul Rubens,Baroque,1621-1625 CE,Flemish,Oil on canvas,3,12,
270.png,Nightwatch,Rembrandt van Rijn,Baroque,1642 CE,"Dutch, Netherlands",Oil on canvas,3,13,
271.png,Embarkation for Cythera,Jean-Antoine Watteau,Rococo,1717 CE,France,Oil on canvas,4,14,
272.png,The Village Bride,Jean-Baptiste Greuze,Age of Enlightenment,1761 CE ,France,Oil on canvas,4,14,
273.png,Death of Marat,Jacques-Louis David,Neoclassical,1793 CE,France,Oil on canvas,4,14,
274.png,George Washington (G),Horatio Greenough,Neoclassical,1840 CE,USA,Marble,4,14,
275.png,Marie Antoinette with a Rose,Elisabeth Louise Vigee Le Brun,Rococo,1783 CE,France,Oil on canvas,4,14,
276.png,The Sleep of Reason Produces Monsters (from series Los Caprichos),Francisco de Goya,Romanticism,1799 CE,Spain,"Etching, aquatint, drypoint",4,14,
277.png,Raft of Medusa,Theodore Gericault,Romanticism,1818-1819 CE,France,Oil on canvas,4,14,
278.png,La Marseillaise (The Departure of the Volunteers of 1792),Francois Rude,Romanticism,1883-1886 CE,"Paris, France",limestone,4,14,
279.png,Le Dejeuner sur l'herbe (Luncheon on the Grass),Edouard Manet,Realism,1863 CE,France,Oil on canvas,4,15,
280.png,Birth of Venus (C),Alexandre Cabanel,,1863 CE,France,Oil on canvas,4,15,
281.png,The Gross Clinic,Thomas Eakins,,1875 CE,"Philadelphia, Pennsylvania",Oil on canvas,4,15,
282.png,Gates of Hell,Auguste Rodin,Impressionism,1880-1917 CE,France,Bronze,4,16,
283.png,A Sunday Afternoon on the Island of La Grande Jatte 1884,George Seurat,Post-Impressionism,1884-1886 CE,France,Oil on canvas,4,16,
284.png,Guernica,Pablo Picasso,Cubism,1937 CE,Spain,Oil on canvas,4,16,
285.png,Unique Forms of Continuity in Space,Umberto Boccioni,Futurism,1913 CE,Italy,Bronze,4,17,
286.png,Red and Blue Chair,Gerrit Rietveld,De Stijl,1917 CE,"Dutch, Netherlands",Lacquered wood,4,17,
287.png,Notre Dame du Haut (Our Lady of the Heights),Le Corbusier,Modern,1955 CE,"Ronchamp, France",Concrete,4,17,
288.png,Persistence of Memory,Salvador Dali,Surrealism,1931 CE,Spain,Oil on canvas,4,17,
289.png,Lobster Trap and Fish Tail,Alexander Calder,Modern/Kinetic,1939 CE,America,Painted steel wire and sheet aluminum,4,17,
290.png,Autumn Rhythm (Number 30),Jackson Pollock,Abstract Expressionism,1950 CE,America,Enamel on canvas,4,18,
291.png,"Untitled (Violet, Black, Orange, Yellow on White and Red)",Mark Rothko,Color-Field,1949 CE,America,Oil on canvas,4,18,
292.png,Drowning Girl,Roy Lichtenstein,Pop Art,1963 CE,America,Oil and synthetic polymer paint on canvas,4,18,
293.png,Sun Tunnels,Nancy Holt,Earthwork,1973-1976 CE,"Great Basin Desert, Utah, USA",Four concrete cylinders arranged in an open cross format and aligned to frame the sun on the horizon during summer and winter solstices,4,18,
294.png,Centre Pompidou,"Richard Rogers, Renzo Piano",Post Modern Architecture,1977 CE,"Paris, France",Steel superstructure with reinforced concrete floors,4,18,
